Code,English Description,Level,Logic,Regulator Provided Validation Message,Regulator Provided Solution Message
EC8038W,"The details of the major shareholders' status have not been tagged.

Please provide detailed tagging of the status of major shareholders. * If there is only one major shareholder, even if the data content is normal, it may be identified as an exception and a warning (attention) may be displayed.",Warning,"There should be facts existing using one of:

http://disclosure.edinet-fsa.go.jp/role/jpcrp/...:
rol_std_MajorShareholders-01
rol_std_MajorShareholders-02
rol_MajorShareholders-01
rol_MajorShareholders-02",大株主の状況の詳細タグ付けがされて いません。,大株主の状況の詳細タグ付けをしてくだ さい。 ※大株主が一名の場合は、データ内容が正 常であっても、例外と識別され、警告（注 意喚起）が表示される場合があります。
EC8039W,"The consolidated balance sheet details have not been tagged.

Please provide detailed tagging of the consolidated balance sheet. If you do not provide a consolidated balance sheet, please confirm that the ""Consolidated Financial Statements"" field in the DEI information is correct.",Warning,"Concept Name: WhetherConsolidatedFinancialStatementsArePreparedDEI and AccountingStandardsDEI
Conditions: If WhetherConsolidatedFinancialStatementsArePreparedDEI is TRUE and AccountingStandardsDEI is ""Japan GAAP"", then a BS must exist using one of:

http://disclosure.edinet-fsa.go.jp/role/jppfs/...:
rol_ConsolidatedBalanceSheet
rol_std_ConsolidatedBalanceSheet
rol_SemiAnnualConsolidatedBalanceSheet
rol_std_SemiAnnualConsolidatedBalanceSheet
rol_Type1SemiAnnualConsolidatedBalanceSheet
rol_std_Type1SemiAnnualConsolidatedBalanceSheet
rol_QuarterlyConsolidatedBalanceSheet
rol_std_QuarterlyConsolidatedBalanceSheet",連結貸借対照表の詳細タグ付けがされ ていません。,連結貸借対照表の詳細タグ付けをしてく ださい。 連結貸借対照表を記載しない場合は、DEI 情報の「連結決算の有無」が正しいことを 確認してください。
EC8040W,"Balance sheet details not tagged.

Please tag the balance sheet in detail.",Warning,"Concept Name: WhetherConsolidatedFinancialStatementsArePreparedDEI and AccountingStandardsDEI
Conditions: If WhetherConsolidatedFinancialStatementsArePreparedDEI is FALSE and AccountingStandardsDEI is ""Japan GAAP"", then a BS must exist using one of:

http://disclosure.edinet-fsa.go.jp/role/jppfs/...:
rol_BalanceSheet
rol_std_BalanceSheet
rol_SemiAnnualBalanceSheet
rol_std_SemiAnnualBalanceSheet
rol_Type1SemiAnnualBalanceSheet
rol_std_Type1SemiAnnualBalanceSheet
rol_QuarterlyBalanceSheet
rol_std_QuarterlyBalanceSheet",貸借対照表の詳細タグ付けがされてい ません。,貸借対照表の詳細タグ付けをしてくださ い。
EC8041W,"The consolidated income statement has not been tagged in detail.

Please provide detailed tagging for the consolidated income statement. If you do not provide a consolidated income statement, please confirm that the ""Consolidated Financial Statements"" field in the DEI information is correct.",Warning,"Concept Name: WhetherConsolidatedFinancialStatementsArePreparedDEI and AccountingStandardsDEI
Conditions: If WhetherConsolidatedFinancialStatementsArePreparedDEI is TRUE and AccountingStandardsDEI is ""Japan GAAP"", then an IS must exist using one of:

http://disclosure.edinet-fsa.go.jp/role/jppfs/...:
rol_ConsolidatedStatementOfIncome
rol_std_ConsolidatedStatementOfIncome
rol_SemiAnnualConsolidatedStatementOfIncome
rol_std_SemiAnnualConsolidatedStatementOfIncome
rol_Type1SemiAnnualConsolidatedStatementOfIncome
rol_std_Type1SemiAnnualConsolidatedStatementOfIncome
rol_YearToQuarterEndConsolidatedStatementOfIncome
rol_std_YearToQuarterEndConsolidatedStatementOfIncome
rol_QuarterPeriodConsolidatedStatementOfIncome
rol_std_QuarterPeriodConsolidatedStatementOfIncome",連結損益計算書の詳細タグ付けがされ ていません。,連結損益計算書の詳細タグ付けをしてく ださい。 連結損益計算書を記載しない場合は、DEI 情報の「連結決算の有無」が正しいことを 確認してください。
EC8042W,"The income statement details are not tagged.

Please provide detailed tagging of your income statement.",Warning,"Concept Name: WhetherConsolidatedFinancialStatementsArePreparedDEI and AccountingStandardsDEI
Conditions: If WhetherConsolidatedFinancialStatementsArePreparedDEI is FALSE and AccountingStandardsDEI is ""Japan GAAP"", then an IS must exist using one of:

http://disclosure.edinet-fsa.go.jp/role/jppfs/...:
rol_StatementOfIncome
rol_std_StatementOfIncome
rol_SemiAnnualStatementOfIncome
rol_std_SemiAnnualStatementOfIncome
rol_Type1SemiAnnualStatementOfIncome
rol_std_Type1SemiAnnualStatementOfIncome
rol_YearToQuarterEndStatementOfIncome
rol_std_YearToQuarterEndStatementOfIncome
rol_QuarterPeriodStatementOfIncome
rol_std_QuarterPeriodStatementOfIncome",損益計算書の詳細タグ付けがされてい ません。,損益計算書の詳細タグ付けをしてくださ い。
EC8043W,"The profit and loss statement has not been tagged in detail.

Please provide detailed tagging of the profit and loss and retained earnings statement.",Warning,"If AccountingStandardsDEI = ""Japan GAAP"" and
WhetherConsolidatedFinancialStatementsArePreparedDEI = ""false"", then a P&L must exist using one of:

http://disclosure.edinet-fsa.go.jp/role/jppfs/...:
rol_StatementOfIncomeAndRetainedEarnings
rol_std_StatementOfIncomeAndRetainedEarnings",損益及び剰余金計算書の詳細タグ付け がされていません。,損益及び剰余金計算書の詳細タグ付けを してください。
EC8044W,"The consolidated statement of changes in equity has not been detailed.

Please tag the details of the consolidated statement of changes in equity. If you do not include a consolidated statement of changes in equity, please confirm that the ""Consolidated Financial Statements"" field in the DEI information is correct.",Warning,"Concept Name: WhetherConsolidatedFinancialStatementsArePreparedDEI and AccountingStandardsDEI
Conditions: If WhetherConsolidatedFinancialStatementsArePreparedDEI is TRUE and AccountingStandardsDEI is ""Japan GAAP"", then an Equity Statement must exist using one of:

http://disclosure.edinet-fsa.go.jp/role/jppfs/...:
rol_ConsolidatedStatementOfChangesInEquity
rol_std_ConsolidatedStatementOfChangesInEquity
rol_ConsolidatedStatementOfChangesInNetAssets
rol_std_ConsolidatedStatementOfChangesInNetAssets
rol_SemiAnnualConsolidatedStatementOfChangesInEquity
rol_std_SemiAnnualConsolidatedStatementOfChangesInEquity
rol_SemiAnnualConsolidatedStatementOfChangesInNetAssets
rol_std_SemiAnnualConsolidatedStatementOfChangesInNetAssets",連結株主資本等変動計算書の詳細タ グ付けがされていません。,連結株主資本等変動計算書の詳細タグ付 けをしてください。 連結株主資本等変動計算書を記載しない 場合は、DEI 情報の「連結決算の有無」が 正しいことを確認してください。
EC8045W,"The statement of changes in equity has not been tagged in detail.

lease provide detailed tagging for the Statement of Changes in Equity.",Warning,"Concept Name: WhetherConsolidatedFinancialStatementsArePreparedDEI and AccountingStandardsDEI
Conditions: If WhetherConsolidatedFinancialStatementsArePreparedDEI is FALSE and AccountingStandardsDEI is ""Japan GAAP"", then an Equity Statement must exist using one of:

http://disclosure.edinet-fsa.go.jp/role/jppfs/...:
rol_StatementOfChangesInEquity
rol_std_StatementOfChangesInEquity
rol_StatementOfChangesInNetAssets
rol_std_StatementOfChangesInNetAssets
rol_SemiAnnualStatementOfChangesInEquity
rol_std_SemiAnnualStatementOfChangesInEquity
rol_SemiAnnualStatementOfChangesInNetAssets
rol_std_SemiAnnualStatementOfChangesInNetAssets",株主資本等変動計算書の詳細タグ付け がされていません。,株主資本等変動計算書の詳細タグ付けを してください。
EC8046W,"The statement of changes in unitholders' equity has not been tagged in detail.

Please provide detailed tagging for the Statement of Changes in Unitholders' Equity.",Warning,"If 
IndustryCodeWhenConsolidatedFinancialStatementsArePreparedInAccordanceWithIndustrySpecificRegulationsDEI = ""inv"" or IndustryCodeWhenFinancialStatementsArePreparedInAccordanceWithIndustrySpecificRegulationsDEI = ""inv""

then facts must exist in one of:
http://disclosure.edinet-fsa.go.jp/role/jppfs/...:
rol_StatementOfUnitholdersEquity
rol_std_StatementOfUnitholdersEquity
rol_SemiAnnualStatementOfUnitholdersEquity
rol_std_SemiAnnualStatementOfUnitholdersEquity",投資主資本等変動計算書の詳細タグ 付けがされていません。,投資主資本等変動計算書の詳細タグ付け をしてください。
EC8047W,"The statement of changes in employee capital etc. has not been tagged in detail.

Please provide detailed tagging for the Statement of Changes in Employee Capital, etc.",Warning,"If 
IndustryCodeWhenConsolidatedFinancialStatementsArePreparedInAccordanceWithIndustrySpecificRegulationsDEI = ""liq"" or IndustryCodeWhenFinancialStatementsArePreparedInAccordanceWithIndustrySpecificRegulationsDEI = ""liq""

then facts must exist in one of:
http://disclosure.edinet-fsa.go.jp/role/jppfs/...""
rol_StatementOfMembersEquity
rol_std_StatementOfMembersEquity
rol_SemiAnnualStatementOfMembersEquity
rol_std_SemiAnnualStatementOfMembersEquity",社員資本等変動計算書の詳細タグ付け がされていません。,社員資本等変動計算書の詳細タグ付けを してください。
